"Data type","Cancer group/site","Year","Sex","Age group (years)","Count"
"Actual","Melanoma of the skin",1989,"Females","05–09",0
"Actual","Melanoma of the skin",1989,"Females","10–14",7
"Actual","Melanoma of the skin",1989,"Females","15–19",46
"Actual","Melanoma of the skin",1989,"Females","20–24",108
"Actual","Melanoma of the skin",1989,"Females","25–29",150
"Actual","Melanoma of the skin",1989,"Females","30–34",182
"Actual","Melanoma of the skin",1989,"Females","35–39",238
"Actual","Melanoma of the skin",1989,"Females","40–44",254
"Actual","Melanoma of the skin",1989,"Females","45–49",233
"Actual","Melanoma of the skin",1989,"Females","50–54",192
"Actual","Melanoma of the skin",1989,"Females","55–59",197
"Actual","Melanoma of the skin",1989,"Females","60–64",228
"Actual","Melanoma of the skin",1989,"Females","65–69",257
"Actual","Melanoma of the skin",1989,"Females","70–74",190
"Actual","Melanoma of the skin",1989,"Females","75–79",166
"Actual","Melanoma of the skin",1989,"Females","80–84",105
"Actual","Melanoma of the skin",1989,"Females","85–89",36
"Actual","Melanoma of the skin",1989,"Females","90+",28
"Actual","Melanoma of the skin",1990,"Females","00–04",0
"Actual","Melanoma of the skin",1990,"Females","05–09",2
"Actual","Melanoma of the skin",1990,"Females","10–14",6
"Actual","Melanoma of the skin",1990,"Females","15–19",42
"Actual","Melanoma of the skin",1990,"Females","20–24",103
"Actual","Melanoma of the skin",1990,"Females","25–29",140
"Actual","Melanoma of the skin",1990,"Females","30–34",163
"Actual","Melanoma of the skin",1990,"Females","35–39",243
"Actual","Melanoma of the skin",1990,"Females","40–44",249
"Actual","Melanoma of the skin",1990,"Females","45–49",235
"Actual","Melanoma of the skin",1990,"Females","50–54",196
"Actual","Melanoma of the skin",1990,"Females","55–59",201
"Actual","Melanoma of the skin",1990,"Females","60–64",239
"Actual","Melanoma of the skin",1990,"Females","65–69",242
"Actual","Melanoma of the skin",1990,"Females","70–74",237
"Actual","Melanoma of the skin",1990,"Females","75–79",204
"Actual","Melanoma of the skin",1990,"Females","80–84",99
"Actual","Melanoma of the skin",1990,"Females","85–89",53
"Actual","Melanoma of the skin",1990,"Females","90+",33
"Actual","Melanoma of the skin",1991,"Females","00–04",0
"Actual","Melanoma of the skin",1991,"Females","05–09",1
"Actual","Melanoma of the skin",1991,"Females","10–14",15
"Actual","Melanoma of the skin",1991,"Females","15–19",58
"Actual","Melanoma of the skin",1991,"Females","20–24",96
"Actual","Melanoma of the skin",1991,"Females","25–29",137
"Actual","Melanoma of the skin",1991,"Females","30–34",202
"Actual","Melanoma of the skin",1991,"Females","35–39",243
"Actual","Melanoma of the skin",1991,"Females","40–44",258
"Actual","Melanoma of the skin",1991,"Females","45–49",225
"Actual","Melanoma of the skin",1991,"Females","50–54",223
"Actual","Melanoma of the skin",1991,"Females","55–59",215
"Actual","Melanoma of the skin",1991,"Females","60–64",241
"Actual","Melanoma of the skin",1991,"Females","65–69",240
"Actual","Melanoma of the skin",1991,"Females","70–74",200
"Actual","Melanoma of the skin",1991,"Females","75–79",211
"Actual","Melanoma of the skin",1991,"Females","80–84",133
"Actual","Melanoma of the skin",1991,"Females","85–89",57
"Actual","Melanoma of the skin",1991,"Females","90+",27
"Actual","Melanoma of the skin",1992,"Females","00–04",0
"Actual","Melanoma of the skin",1992,"Females","05–09",1
"Actual","Melanoma of the skin",1992,"Females","10–14",10
"Actual","Melanoma of the skin",1992,"Females","15–19",26
"Actual","Melanoma of the skin",1992,"Females","20–24",98
"Actual","Melanoma of the skin",1992,"Females","25–29",146
"Actual","Melanoma of the skin",1992,"Females","30–34",210
"Actual","Melanoma of the skin",1992,"Females","35–39",249
"Actual","Melanoma of the skin",1992,"Females","40–44",256
"Actual","Melanoma of the skin",1992,"Females","45–49",277
"Actual","Melanoma of the skin",1992,"Females","50–54",245
"Actual","Melanoma of the skin",1992,"Females","55–59",218
"Actual","Melanoma of the skin",1992,"Females","60–64",271
"Actual","Melanoma of the skin",1992,"Females","65–69",295
"Actual","Melanoma of the skin",1992,"Females","70–74",221
"Actual","Melanoma of the skin",1992,"Females","75–79",225
"Actual","Melanoma of the skin",1992,"Females","80–84",132
"Actual","Melanoma of the skin",1992,"Females","85–89",66
"Actual","Melanoma of the skin",1992,"Females","90+",34
"Actual","Melanoma of the skin",1993,"Females","00–04",0
"Actual","Melanoma of the skin",1993,"Females","05–09",0
"Actual","Melanoma of the skin",1993,"Females","10–14",13
"Actual","Melanoma of the skin",1993,"Females","15–19",46
"Actual","Melanoma of the skin",1993,"Females","20–24",82
"Actual","Melanoma of the skin",1993,"Females","25–29",132
"Actual","Melanoma of the skin",1993,"Females","30–34",217
"Actual","Melanoma of the skin",1993,"Females","35–39",243
"Actual","Melanoma of the skin",1993,"Females","40–44",288
"Actual","Melanoma of the skin",1993,"Females","45–49",282
"Actual","Melanoma of the skin",1993,"Females","50–54",268
"Actual","Melanoma of the skin",1993,"Females","55–59",191
"Actual","Melanoma of the skin",1993,"Females","60–64",267
"Actual","Melanoma of the skin",1993,"Females","65–69",307
"Actual","Melanoma of the skin",1993,"Females","70–74",269
"Actual","Melanoma of the skin",1993,"Females","75–79",184
"Actual","Melanoma of the skin",1993,"Females","80–84",153
"Actual","Melanoma of the skin",1993,"Females","85–89",75
"Actual","Melanoma of the skin",1993,"Females","90+",41
"Actual","Melanoma of the skin",1994,"Females","00–04",0
"Actual","Melanoma of the skin",1994,"Females","05–09",1
"Actual","Melanoma of the skin",1994,"Females","10–14",2
"Actual","Melanoma of the skin",1994,"Females","15–19",38
"Actual","Melanoma of the skin",1994,"Females","20–24",111
"Actual","Melanoma of the skin",1994,"Females","25–29",140
"Actual","Melanoma of the skin",1994,"Females","30–34",200
"Actual","Melanoma of the skin",1994,"Females","35–39",222
"Actual","Melanoma of the skin",1994,"Females","40–44",297
"Actual","Melanoma of the skin",1994,"Females","45–49",318
"Actual","Melanoma of the skin",1994,"Females","50–54",268
"Actual","Melanoma of the skin",1994,"Females","55–59",225
"Actual","Melanoma of the skin",1994,"Females","60–64",249
"Actual","Melanoma of the skin",1994,"Females","65–69",306
"Actual","Melanoma of the skin",1994,"Females","70–74",277
"Actual","Melanoma of the skin",1994,"Females","75–79",193
"Actual","Melanoma of the skin",1994,"Females","80–84",152
"Actual","Melanoma of the skin",1994,"Females","85–89",88
"Actual","Melanoma of the skin",1994,"Females","90+",30
"Actual","Melanoma of the skin",1995,"Females","00–04",1
"Actual","Melanoma of the skin",1995,"Females","05–09",1
"Actual","Melanoma of the skin",1995,"Females","10–14",5
"Actual","Melanoma of the skin",1995,"Females","15–19",44
"Actual","Melanoma of the skin",1995,"Females","20–24",120
"Actual","Melanoma of the skin",1995,"Females","25–29",176
"Actual","Melanoma of the skin",1995,"Females","30–34",272
"Actual","Melanoma of the skin",1995,"Females","35–39",270
"Actual","Melanoma of the skin",1995,"Females","40–44",274
"Actual","Melanoma of the skin",1995,"Females","45–49",328
"Actual","Melanoma of the skin",1995,"Females","50–54",270
"Actual","Melanoma of the skin",1995,"Females","55–59",237
"Actual","Melanoma of the skin",1995,"Females","60–64",256
"Actual","Melanoma of the skin",1995,"Females","65–69",284
"Actual","Melanoma of the skin",1995,"Females","70–74",266
"Actual","Melanoma of the skin",1995,"Females","75–79",225
"Actual","Melanoma of the skin",1995,"Females","80–84",165
"Actual","Melanoma of the skin",1995,"Females","85–89",94
"Actual","Melanoma of the skin",1995,"Females","90+",31
"Actual","Melanoma of the skin",1996,"Females","00–04",1
"Actual","Melanoma of the skin",1996,"Females","05–09",4
"Actual","Melanoma of the skin",1996,"Females","10–14",17
"Actual","Melanoma of the skin",1996,"Females","15–19",61
"Actual","Melanoma of the skin",1996,"Females","20–24",105
"Actual","Melanoma of the skin",1996,"Females","25–29",165
"Actual","Melanoma of the skin",1996,"Females","30–34",233
"Actual","Melanoma of the skin",1996,"Females","35–39",284
"Actual","Melanoma of the skin",1996,"Females","40–44",297
"Actual","Melanoma of the skin",1996,"Females","45–49",327
"Actual","Melanoma of the skin",1996,"Females","50–54",326
"Actual","Melanoma of the skin",1996,"Females","55–59",254
"Actual","Melanoma of the skin",1996,"Females","60–64",279
"Actual","Melanoma of the skin",1996,"Females","65–69",282
"Actual","Melanoma of the skin",1996,"Females","70–74",306
"Actual","Melanoma of the skin",1996,"Females","75–79",225
"Actual","Melanoma of the skin",1996,"Females","80–84",174
"Actual","Melanoma of the skin",1996,"Females","85–89",107
"Actual","Melanoma of the skin",1996,"Females","90+",41
"Actual","Melanoma of the skin",1997,"Females","00–04",0
"Actual","Melanoma of the skin",1997,"Females","05–09",0
"Actual","Melanoma of the skin",1997,"Females","10–14",7
"Actual","Melanoma of the skin",1997,"Females","15–19",63
"Actual","Melanoma of the skin",1997,"Females","20–24",116
"Actual","Melanoma of the skin",1997,"Females","25–29",181
"Actual","Melanoma of the skin",1997,"Females","30–34",232
"Actual","Melanoma of the skin",1997,"Females","35–39",290
"Actual","Melanoma of the skin",1997,"Females","40–44",343
"Actual","Melanoma of the skin",1997,"Females","45–49",350
"Actual","Melanoma of the skin",1997,"Females","50–54",375
"Actual","Melanoma of the skin",1997,"Females","55–59",295
"Actual","Melanoma of the skin",1997,"Females","60–64",270
"Actual","Melanoma of the skin",1997,"Females","65–69",308
"Actual","Melanoma of the skin",1997,"Females","70–74",310
"Actual","Melanoma of the skin",1997,"Females","75–79",270
"Actual","Melanoma of the skin",1997,"Females","80–84",177
"Actual","Melanoma of the skin",1997,"Females","85–89",119
"Actual","Melanoma of the skin",1997,"Females","90+",45
"Actual","Melanoma of the skin",1998,"Females","00–04",1
"Actual","Melanoma of the skin",1998,"Females","05–09",1
"Actual","Melanoma of the skin",1998,"Females","10–14",6
"Actual","Melanoma of the skin",1998,"Females","15–19",36
"Actual","Melanoma of the skin",1998,"Females","20–24",93
"Actual","Melanoma of the skin",1998,"Females","25–29",151
"Actual","Melanoma of the skin",1998,"Females","30–34",242
"Actual","Melanoma of the skin",1998,"Females","35–39",265
"Actual","Melanoma of the skin",1998,"Females","40–44",307
"Actual","Melanoma of the skin",1998,"Females","45–49",317
"Actual","Melanoma of the skin",1998,"Females","50–54",356
"Actual","Melanoma of the skin",1998,"Females","55–59",289
"Actual","Melanoma of the skin",1998,"Females","60–64",296
"Actual","Melanoma of the skin",1998,"Females","65–69",274
"Actual","Melanoma of the skin",1998,"Females","70–74",267
"Actual","Melanoma of the skin",1998,"Females","75–79",267
"Actual","Melanoma of the skin",1998,"Females","80–84",180
"Actual","Melanoma of the skin",1998,"Females","85–89",129
"Actual","Melanoma of the skin",1998,"Females","90+",41
"Actual","Melanoma of the skin",1999,"Females","00–04",1
"Actual","Melanoma of the skin",1999,"Females","05–09",2
"Actual","Melanoma of the skin",1999,"Females","10–14",7
"Actual","Melanoma of the skin",1999,"Females","15–19",34
"Actual","Melanoma of the skin",1999,"Females","20–24",119
"Actual","Melanoma of the skin",1999,"Females","25–29",147
"Actual","Melanoma of the skin",1999,"Females","30–34",208
"Actual","Melanoma of the skin",1999,"Females","35–39",281
"Actual","Melanoma of the skin",1999,"Females","40–44",301
"Actual","Melanoma of the skin",1999,"Females","45–49",387
"Actual","Melanoma of the skin",1999,"Females","50–54",380
"Actual","Melanoma of the skin",1999,"Females","55–59",295
"Actual","Melanoma of the skin",1999,"Females","60–64",254
"Actual","Melanoma of the skin",1999,"Females","65–69",289
"Actual","Melanoma of the skin",1999,"Females","70–74",302
"Actual","Melanoma of the skin",1999,"Females","75–79",274
"Actual","Melanoma of the skin",1999,"Females","80–84",209
"Actual","Melanoma of the skin",1999,"Females","85–89",112
"Actual","Melanoma of the skin",1999,"Females","90+",59
"Actual","Melanoma of the skin",2000,"Females","00–04",0
"Actual","Melanoma of the skin",2000,"Females","05–09",1
"Actual","Melanoma of the skin",2000,"Females","10–14",5
"Actual","Melanoma of the skin",2000,"Females","15–19",38
"Actual","Melanoma of the skin",2000,"Females","20–24",93
"Actual","Melanoma of the skin",2000,"Females","25–29",150
"Actual","Melanoma of the skin",2000,"Females","30–34",220
"Actual","Melanoma of the skin",2000,"Females","35–39",301
"Actual","Melanoma of the skin",2000,"Females","40–44",315
"Actual","Melanoma of the skin",2000,"Females","45–49",356
"Actual","Melanoma of the skin",2000,"Females","50–54",372
"Actual","Melanoma of the skin",2000,"Females","55–59",314
"Actual","Melanoma of the skin",2000,"Females","60–64",282
"Actual","Melanoma of the skin",2000,"Females","65–69",304
"Actual","Melanoma of the skin",2000,"Females","70–74",329
"Actual","Melanoma of the skin",2000,"Females","75–79",338
"Actual","Melanoma of the skin",2000,"Females","80–84",206
"Actual","Melanoma of the skin",2000,"Females","85–89",135
"Actual","Melanoma of the skin",2000,"Females","90+",67
"Actual","Melanoma of the skin",2001,"Females","00–04",1
"Actual","Melanoma of the skin",2001,"Females","05–09",5
"Actual","Melanoma of the skin",2001,"Females","10–14",7
"Actual","Melanoma of the skin",2001,"Females","15–19",41
"Actual","Melanoma of the skin",2001,"Females","20–24",79
"Actual","Melanoma of the skin",2001,"Females","25–29",144
"Actual","Melanoma of the skin",2001,"Females","30–34",218
"Actual","Melanoma of the skin",2001,"Females","35–39",279
"Actual","Melanoma of the skin",2001,"Females","40–44",349
"Actual","Melanoma of the skin",2001,"Females","45–49",349
"Actual","Melanoma of the skin",2001,"Females","50–54",417
"Actual","Melanoma of the skin",2001,"Females","55–59",330
"Actual","Melanoma of the skin",2001,"Females","60–64",320
"Actual","Melanoma of the skin",2001,"Females","65–69",304
"Actual","Melanoma of the skin",2001,"Females","70–74",345
"Actual","Melanoma of the skin",2001,"Females","75–79",308
"Actual","Melanoma of the skin",2001,"Females","80–84",215
"Actual","Melanoma of the skin",2001,"Females","85–89",133
"Actual","Melanoma of the skin",2001,"Females","90+",52
"Actual","Melanoma of the skin",2002,"Females","00–04",1
"Actual","Melanoma of the skin",2002,"Females","05–09",4
"Actual","Melanoma of the skin",2002,"Females","10–14",10
"Actual","Melanoma of the skin",2002,"Females","15–19",42
"Actual","Melanoma of the skin",2002,"Females","20–24",93
"Actual","Melanoma of the skin",2002,"Females","25–29",146
"Actual","Melanoma of the skin",2002,"Females","30–34",220
"Actual","Melanoma of the skin",2002,"Females","35–39",253
"Actual","Melanoma of the skin",2002,"Females","40–44",326
"Actual","Melanoma of the skin",2002,"Females","45–49",398
"Actual","Melanoma of the skin",2002,"Females","50–54",433
"Actual","Melanoma of the skin",2002,"Females","55–59",423
"Actual","Melanoma of the skin",2002,"Females","60–64",379
"Actual","Melanoma of the skin",2002,"Females","65–69",332
"Actual","Melanoma of the skin",2002,"Females","70–74",344
"Actual","Melanoma of the skin",2002,"Females","75–79",321
"Actual","Melanoma of the skin",2002,"Females","80–84",274
"Actual","Melanoma of the skin",2002,"Females","85–89",165
"Actual","Melanoma of the skin",2002,"Females","90+",71
"Actual","Melanoma of the skin",2003,"Females","00–04",0
"Actual","Melanoma of the skin",2003,"Females","05–09",2
"Actual","Melanoma of the skin",2003,"Females","10–14",4
"Actual","Melanoma of the skin",2003,"Females","15–19",31
"Actual","Melanoma of the skin",2003,"Females","20–24",95
"Actual","Melanoma of the skin",2003,"Females","25–29",123
"Actual","Melanoma of the skin",2003,"Females","30–34",211
"Actual","Melanoma of the skin",2003,"Females","35–39",261
"Actual","Melanoma of the skin",2003,"Females","40–44",330
"Actual","Melanoma of the skin",2003,"Females","45–49",370
"Actual","Melanoma of the skin",2003,"Females","50–54",397
"Actual","Melanoma of the skin",2003,"Females","55–59",405
"Actual","Melanoma of the skin",2003,"Females","60–64",332
"Actual","Melanoma of the skin",2003,"Females","65–69",344
"Actual","Melanoma of the skin",2003,"Females","70–74",331
"Actual","Melanoma of the skin",2003,"Females","75–79",299
"Actual","Melanoma of the skin",2003,"Females","80–84",252
"Actual","Melanoma of the skin",2003,"Females","85–89",169
"Actual","Melanoma of the skin",2003,"Females","90+",70
"Actual","Melanoma of the skin",2004,"Females","00–04",0
"Actual","Melanoma of the skin",2004,"Females","05–09",0
"Actual","Melanoma of the skin",2004,"Females","10–14",5
"Actual","Melanoma of the skin",2004,"Females","15–19",34
"Actual","Melanoma of the skin",2004,"Females","20–24",91
"Actual","Melanoma of the skin",2004,"Females","25–29",137
"Actual","Melanoma of the skin",2004,"Females","30–34",217
"Actual","Melanoma of the skin",2004,"Females","35–39",236
"Actual","Melanoma of the skin",2004,"Females","40–44",313
"Actual","Melanoma of the skin",2004,"Females","45–49",416
"Actual","Melanoma of the skin",2004,"Females","50–54",422
"Actual","Melanoma of the skin",2004,"Females","55–59",457
"Actual","Melanoma of the skin",2004,"Females","60–64",401
"Actual","Melanoma of the skin",2004,"Females","65–69",367
"Actual","Melanoma of the skin",2004,"Females","70–74",318
"Actual","Melanoma of the skin",2004,"Females","75–79",354
"Actual","Melanoma of the skin",2004,"Females","80–84",254
"Actual","Melanoma of the skin",2004,"Females","85–89",169
"Actual","Melanoma of the skin",2004,"Females","90+",83
"Actual","Melanoma of the skin",2005,"Females","00–04",0
"Actual","Melanoma of the skin",2005,"Females","05–09",1
"Actual","Melanoma of the skin",2005,"Females","10–14",4
"Actual","Melanoma of the skin",2005,"Females","15–19",28
"Actual","Melanoma of the skin",2005,"Females","20–24",78
"Actual","Melanoma of the skin",2005,"Females","25–29",168
"Actual","Melanoma of the skin",2005,"Females","30–34",240
"Actual","Melanoma of the skin",2005,"Females","35–39",256
"Actual","Melanoma of the skin",2005,"Females","40–44",374
"Actual","Melanoma of the skin",2005,"Females","45–49",425
"Actual","Melanoma of the skin",2005,"Females","50–54",443
"Actual","Melanoma of the skin",2005,"Females","55–59",466
"Actual","Melanoma of the skin",2005,"Females","60–64",439
"Actual","Melanoma of the skin",2005,"Females","65–69",431
"Actual","Melanoma of the skin",2005,"Females","70–74",363
"Actual","Melanoma of the skin",2005,"Females","75–79",371
"Actual","Melanoma of the skin",2005,"Females","80–84",325
"Actual","Melanoma of the skin",2005,"Females","85–89",166
"Actual","Melanoma of the skin",2005,"Females","90+",111
"Actual","Melanoma of the skin",2006,"Females","00–04",0
"Actual","Melanoma of the skin",2006,"Females","05–09",0
"Actual","Melanoma of the skin",2006,"Females","10–14",3
"Actual","Melanoma of the skin",2006,"Females","15–19",27
"Actual","Melanoma of the skin",2006,"Females","20–24",79
"Actual","Melanoma of the skin",2006,"Females","25–29",141
"Actual","Melanoma of the skin",2006,"Females","30–34",210
"Actual","Melanoma of the skin",2006,"Females","35–39",247
"Actual","Melanoma of the skin",2006,"Females","40–44",303
"Actual","Melanoma of the skin",2006,"Females","45–49",373
"Actual","Melanoma of the skin",2006,"Females","50–54",392
"Actual","Melanoma of the skin",2006,"Females","55–59",448
"Actual","Melanoma of the skin",2006,"Females","60–64",369
"Actual","Melanoma of the skin",2006,"Females","65–69",380
"Actual","Melanoma of the skin",2006,"Females","70–74",349
"Actual","Melanoma of the skin",2006,"Females","75–79",402
"Actual","Melanoma of the skin",2006,"Females","80–84",298
"Actual","Melanoma of the skin",2006,"Females","85–89",184
"Actual","Melanoma of the skin",2006,"Females","90+",122
"Actual","Melanoma of the skin",2007,"Females","00–04",0
"Actual","Melanoma of the skin",2007,"Females","05–09",1
"Actual","Melanoma of the skin",2007,"Females","10–14",4
"Actual","Melanoma of the skin",2007,"Females","15–19",20
"Actual","Melanoma of the skin",2007,"Females","20–24",83
"Actual","Melanoma of the skin",2007,"Females","25–29",117
"Actual","Melanoma of the skin",2007,"Females","30–34",183
"Actual","Melanoma of the skin",2007,"Females","35–39",289
"Actual","Melanoma of the skin",2007,"Females","40–44",329
"Actual","Melanoma of the skin",2007,"Females","45–49",418
"Actual","Melanoma of the skin",2007,"Females","50–54",402
"Actual","Melanoma of the skin",2007,"Females","55–59",449
"Actual","Melanoma of the skin",2007,"Females","60–64",427
"Actual","Melanoma of the skin",2007,"Females","65–69",362
"Actual","Melanoma of the skin",2007,"Females","70–74",344
"Actual","Melanoma of the skin",2007,"Females","75–79",361
"Actual","Melanoma of the skin",2007,"Females","80–84",329
"Actual","Melanoma of the skin",2007,"Females","85–89",185
"Actual","Melanoma of the skin",2007,"Females","90+",100
"Actual","Melanoma of the skin",2008,"Females","00–04",0
"Actual","Melanoma of the skin",2008,"Females","05–09",1
"Actual","Melanoma of the skin",2008,"Females","10–14",2
"Actual","Melanoma of the skin",2008,"Females","15–19",20
"Actual","Melanoma of the skin",2008,"Females","20–24",80
"Actual","Melanoma of the skin",2008,"Females","25–29",122
"Actual","Melanoma of the skin",2008,"Females","30–34",187
"Actual","Melanoma of the skin",2008,"Females","35–39",279
"Actual","Melanoma of the skin",2008,"Females","40–44",316
"Actual","Melanoma of the skin",2008,"Females","45–49",404
"Actual","Melanoma of the skin",2008,"Females","50–54",459
"Actual","Melanoma of the skin",2008,"Females","55–59",499
"Actual","Melanoma of the skin",2008,"Females","60–64",489
"Actual","Melanoma of the skin",2008,"Females","65–69",404
"Actual","Melanoma of the skin",2008,"Females","70–74",374
"Actual","Melanoma of the skin",2008,"Females","75–79",345
"Actual","Melanoma of the skin",2008,"Females","80–84",325
"Actual","Melanoma of the skin",2008,"Females","85–89",192
"Actual","Melanoma of the skin",2008,"Females","90+",110
"Actual","Melanoma of the skin",2009,"Females","00–04",0
"Actual","Melanoma of the skin",2009,"Females","05–09",1
"Actual","Melanoma of the skin",2009,"Females","10–14",3
"Actual","Melanoma of the skin",2009,"Females","15–19",28
"Actual","Melanoma of the skin",2009,"Females","20–24",76
"Actual","Melanoma of the skin",2009,"Females","25–29",124
"Actual","Melanoma of the skin",2009,"Females","30–34",176
"Actual","Melanoma of the skin",2009,"Females","35–39",257
"Actual","Melanoma of the skin",2009,"Females","40–44",315
"Actual","Melanoma of the skin",2009,"Females","45–49",415
"Actual","Melanoma of the skin",2009,"Females","50–54",419
"Actual","Melanoma of the skin",2009,"Females","55–59",475
"Actual","Melanoma of the skin",2009,"Females","60–64",512
"Actual","Melanoma of the skin",2009,"Females","65–69",410
"Actual","Melanoma of the skin",2009,"Females","70–74",405
"Actual","Melanoma of the skin",2009,"Females","75–79",402
"Actual","Melanoma of the skin",2009,"Females","80–84",346
"Actual","Melanoma of the skin",2009,"Females","85–89",230
"Actual","Melanoma of the skin",2009,"Females","90+",116
"Actual","Melanoma of the skin",2010,"Females","00–04",1
"Actual","Melanoma of the skin",2010,"Females","05–09",2
"Actual","Melanoma of the skin",2010,"Females","10–14",3
"Actual","Melanoma of the skin",2010,"Females","15–19",13
"Actual","Melanoma of the skin",2010,"Females","20–24",60
"Actual","Melanoma of the skin",2010,"Females","25–29",143
"Actual","Melanoma of the skin",2010,"Females","30–34",170
"Actual","Melanoma of the skin",2010,"Females","35–39",235
"Actual","Melanoma of the skin",2010,"Females","40–44",315
"Actual","Melanoma of the skin",2010,"Females","45–49",378
"Actual","Melanoma of the skin",2010,"Females","50–54",437
"Actual","Melanoma of the skin",2010,"Females","55–59",462
"Actual","Melanoma of the skin",2010,"Females","60–64",525
"Actual","Melanoma of the skin",2010,"Females","65–69",506
"Actual","Melanoma of the skin",2010,"Females","70–74",377
"Actual","Melanoma of the skin",2010,"Females","75–79",366
"Actual","Melanoma of the skin",2010,"Females","80–84",337
"Actual","Melanoma of the skin",2010,"Females","85–89",260
"Actual","Melanoma of the skin",2010,"Females","90+",119
"Actual","Melanoma of the skin",2011,"Females","00–04",0
"Actual","Melanoma of the skin",2011,"Females","05–09",2
"Actual","Melanoma of the skin",2011,"Females","10–14",2
"Actual","Melanoma of the skin",2011,"Females","15–19",20
"Actual","Melanoma of the skin",2011,"Females","20–24",59
"Actual","Melanoma of the skin",2011,"Females","25–29",115
"Actual","Melanoma of the skin",2011,"Females","30–34",139
"Actual","Melanoma of the skin",2011,"Females","35–39",273
"Actual","Melanoma of the skin",2011,"Females","40–44",312
"Actual","Melanoma of the skin",2011,"Females","45–49",395
"Actual","Melanoma of the skin",2011,"Females","50–54",422
"Actual","Melanoma of the skin",2011,"Females","55–59",462
"Actual","Melanoma of the skin",2011,"Females","60–64",541
"Actual","Melanoma of the skin",2011,"Females","65–69",537
"Actual","Melanoma of the skin",2011,"Females","70–74",473
"Actual","Melanoma of the skin",2011,"Females","75–79",341
"Actual","Melanoma of the skin",2011,"Females","80–84",371
"Actual","Melanoma of the skin",2011,"Females","85–89",245
"Actual","Melanoma of the skin",2011,"Females","90+",133
"Actual","Melanoma of the skin",2012,"Females","00–04",0
"Actual","Melanoma of the skin",2012,"Females","05–09",0
"Actual","Melanoma of the skin",2012,"Females","10–14",2
"Actual","Melanoma of the skin",2012,"Females","15–19",18
"Actual","Melanoma of the skin",2012,"Females","20–24",63
"Actual","Melanoma of the skin",2012,"Females","25–29",131
"Actual","Melanoma of the skin",2012,"Females","30–34",182
"Actual","Melanoma of the skin",2012,"Females","35–39",248
"Actual","Melanoma of the skin",2012,"Females","40–44",345
"Actual","Melanoma of the skin",2012,"Females","45–49",394
"Actual","Melanoma of the skin",2012,"Females","50–54",471
"Actual","Melanoma of the skin",2012,"Females","55–59",493
"Actual","Melanoma of the skin",2012,"Females","60–64",549
"Actual","Melanoma of the skin",2012,"Females","65–69",562
"Actual","Melanoma of the skin",2012,"Females","70–74",430
"Actual","Melanoma of the skin",2012,"Females","75–79",391
"Actual","Melanoma of the skin",2012,"Females","80–84",348
"Actual","Melanoma of the skin",2012,"Females","85–89",288
"Actual","Melanoma of the skin",2012,"Females","90+",168
"Actual","Melanoma of the skin",2013,"Females","00–04",1
"Actual","Melanoma of the skin",2013,"Females","05–09",1
"Actual","Melanoma of the skin",2013,"Females","10–14",4
"Actual","Melanoma of the skin",2013,"Females","15–19",21
"Actual","Melanoma of the skin",2013,"Females","20–24",60
"Actual","Melanoma of the skin",2013,"Females","25–29",136
"Actual","Melanoma of the skin",2013,"Females","30–34",188
"Actual","Melanoma of the skin",2013,"Females","35–39",250
"Actual","Melanoma of the skin",2013,"Females","40–44",362
"Actual","Melanoma of the skin",2013,"Females","45–49",397
"Actual","Melanoma of the skin",2013,"Females","50–54",511
"Actual","Melanoma of the skin",2013,"Females","55–59",510
"Actual","Melanoma of the skin",2013,"Females","60–64",521
"Actual","Melanoma of the skin",2013,"Females","65–69",602
"Actual","Melanoma of the skin",2013,"Females","70–74",471
"Actual","Melanoma of the skin",2013,"Females","75–79",438
"Actual","Melanoma of the skin",2013,"Females","80–84",396
"Actual","Melanoma of the skin",2013,"Females","85–89",293
"Actual","Melanoma of the skin",2013,"Females","90+",178
"Actual","Melanoma of the skin",2014,"Females","00–04",1
"Actual","Melanoma of the skin",2014,"Females","05–09",0
"Actual","Melanoma of the skin",2014,"Females","10–14",1
"Actual","Melanoma of the skin",2014,"Females","15–19",19
"Actual","Melanoma of the skin",2014,"Females","20–24",62
"Actual","Melanoma of the skin",2014,"Females","25–29",117
"Actual","Melanoma of the skin",2014,"Females","30–34",184
"Actual","Melanoma of the skin",2014,"Females","35–39",220
"Actual","Melanoma of the skin",2014,"Females","40–44",380
"Actual","Melanoma of the skin",2014,"Females","45–49",436
"Actual","Melanoma of the skin",2014,"Females","50–54",535
"Actual","Melanoma of the skin",2014,"Females","55–59",500
"Actual","Melanoma of the skin",2014,"Females","60–64",559
"Actual","Melanoma of the skin",2014,"Females","65–69",659
"Actual","Melanoma of the skin",2014,"Females","70–74",521
"Actual","Melanoma of the skin",2014,"Females","75–79",456
"Actual","Melanoma of the skin",2014,"Females","80–84",374
"Actual","Melanoma of the skin",2014,"Females","85–89",278
"Actual","Melanoma of the skin",2014,"Females","90+",184
"Actual","Melanoma of the skin",2015,"Females","00–04",0
"Actual","Melanoma of the skin",2015,"Females","05–09",1
"Actual","Melanoma of the skin",2015,"Females","10–14",1
"Actual","Melanoma of the skin",2015,"Females","15–19",13
"Actual","Melanoma of the skin",2015,"Females","20–24",57
"Actual","Melanoma of the skin",2015,"Females","25–29",145
